goos: darwin
goarch: arm64
pkg: github.com/swonky/set/setbench
cpu: Apple M1
BenchmarkBuildFromSlice/Set/0-8   	47280625	        22.98 ns/op	      48 B/op	       1 allocs/op
BenchmarkBuildFromSlice/Set/0-8   	49377466	        23.07 ns/op	      48 B/op	       1 allocs/op
BenchmarkBuildFromSlice/Set/0-8   	48028335	        23.16 ns/op	      48 B/op	       1 allocs/op
BenchmarkBuildFromSlice/Set/0-8   	50051876	        22.99 ns/op	      48 B/op	       1 allocs/op
BenchmarkBuildFromSlice/Set/0-8   	49367055	        23.08 ns/op	      48 B/op	       1 allocs/op
BenchmarkBuildFromSlice/Frozen/0-8         	46763952	        24.51 ns/op	      48 B/op	       1 allocs/op
BenchmarkBuildFromSlice/Frozen/0-8         	47387749	        24.49 ns/op	      48 B/op	       1 allocs/op
BenchmarkBuildFromSlice/Frozen/0-8         	46644584	        24.55 ns/op	      48 B/op	       1 allocs/op
BenchmarkBuildFromSlice/Frozen/0-8         	46416724	        24.52 ns/op	      48 B/op	       1 allocs/op
BenchmarkBuildFromSlice/Frozen/0-8         	47030850	        24.45 ns/op	      48 B/op	       1 allocs/op
BenchmarkBuildFromSlice/Stable/0-8         	64783447	        18.11 ns/op	      32 B/op	       1 allocs/op
BenchmarkBuildFromSlice/Stable/0-8         	63698916	        18.09 ns/op	      32 B/op	       1 allocs/op
BenchmarkBuildFromSlice/Stable/0-8         	65463622	        17.93 ns/op	      32 B/op	       1 allocs/op
BenchmarkBuildFromSlice/Stable/0-8         	64916622	        17.93 ns/op	      32 B/op	       1 allocs/op
BenchmarkBuildFromSlice/Stable/0-8         	65106373	        17.97 ns/op	      32 B/op	       1 allocs/op
BenchmarkBuildFromSlice/Set/8-8            	12020529	        99.18 ns/op	     192 B/op	       2 allocs/op
BenchmarkBuildFromSlice/Set/8-8            	12030416	        98.62 ns/op	     192 B/op	       2 allocs/op
BenchmarkBuildFromSlice/Set/8-8            	12037269	        98.86 ns/op	     192 B/op	       2 allocs/op
BenchmarkBuildFromSlice/Set/8-8            	11934469	       100.8 ns/op	     192 B/op	       2 allocs/op
BenchmarkBuildFromSlice/Set/8-8            	11994362	       100.2 ns/op	     192 B/op	       2 allocs/op
BenchmarkBuildFromSlice/Frozen/8-8         	11596471	       101.3 ns/op	     192 B/op	       2 allocs/op
BenchmarkBuildFromSlice/Frozen/8-8         	11689923	       101.2 ns/op	     192 B/op	       2 allocs/op
BenchmarkBuildFromSlice/Frozen/8-8         	11633067	       101.9 ns/op	     192 B/op	       2 allocs/op
BenchmarkBuildFromSlice/Frozen/8-8         	11624301	       101.2 ns/op	     192 B/op	       2 allocs/op
BenchmarkBuildFromSlice/Frozen/8-8         	11716618	       101.0 ns/op	     192 B/op	       2 allocs/op
